ID,Link,Date,Sport,Country,League
pYqMzOOo,https://www.betexplorer.com/soccer/czech-republic/division-b/ujezd-prague-meteor-prague/pYqMzOOo/,"2022,9,25,10,15",soccer,czech-republic,division-b
UVYMlenO,https://www.betexplorer.com/soccer/czech-republic/division-f/karvina-bruntal/UVYMlenO/,"2022,9,25,10,15",soccer,czech-republic,division-f
vs2u7x2h,https://www.betexplorer.com/soccer/czech-republic/division-f/novy-jicin-hlubina/vs2u7x2h/,"2022,9,25,10,15",soccer,czech-republic,division-f
dtu1o2ga,https://www.betexplorer.com/soccer/czech-republic/jihomoravsky-kp/fc-kurim-lednice/dtu1o2ga/,"2022,9,25,10,15",soccer,czech-republic,jihomoravsky-kp
KWykcgWH,https://www.betexplorer.com/soccer/czech-republic/cfl-group-b/kolin-mlada-boleslav/KWykcgWH/,"2022,9,25,10,30",soccer,czech-republic,cfl-group-b
ttwobZGB,https://www.betexplorer.com/soccer/czech-republic/cfl-group-b/prepere-hradec-kralove/ttwobZGB/,"2022,9,25,10,30",soccer,czech-republic,cfl-group-b
ruzi4HZc,https://www.betexplorer.com/soccer/czech-republic/msfl/sk-hranice-ostrava/ruzi4HZc/,"2022,9,25,10,30",soccer,czech-republic,msfl
x88bsPs0,https://www.betexplorer.com/soccer/czech-republic/moravskoslezsky-kp/cesky-tesin-hermanice/x88bsPs0/,"2022,9,25,10,30",soccer,czech-republic,moravskoslezsky-kp
pWAwT9Gs,https://www.betexplorer.com/soccer/czech-republic/ustecky-kp/oldrichov-perstejn/pWAwT9Gs/,"2022,9,25,10,30",soccer,czech-republic,ustecky-kp
xY9rYTxc,https://www.betexplorer.com/soccer/czech-republic/1-liga-women/lokomotiva-brno-dukla-prague/xY9rYTxc/,"2022,9,25,11,00",soccer,czech-republic,1-liga-women
UB6mBKEq,https://www.betexplorer.com/soccer/europe/euro-u19/slovakia-armenia/UB6mBKEq/,"2022,9,25,11,00",soccer,europe,euro-u19
Iye3p0JH,https://www.betexplorer.com/soccer/hungary/nb-i-women/mol-fehervar-fc-puskas-academy/Iye3p0JH/,"2022,9,25,11,00",soccer,hungary,nb-i-women
h2T0Lw7n,https://www.betexplorer.com/soccer/japan/we-league-cup-women/ac-parceiro-nagano-albirex-niigata/h2T0Lw7n/,"2022,9,25,11,00",soccer,japan,we-league-cup-women
O2D2CReh,https://www.betexplorer.com/soccer/myanmar/national-league/sagaing-united-chinland/O2D2CReh/,"2022,9,25,11,00",soccer,myanmar,national-league
xney8BZF,https://www.betexplorer.com/soccer/poland/central-youth-league/cracovia-jagiellonia/xney8BZF/,"2022,9,25,11,00",soccer,poland,central-youth-league
rks7HXPe,https://www.betexplorer.com/soccer/poland/central-youth-league/polonia-w-escola-warszawa/rks7HXPe/,"2022,9,25,11,00",soccer,poland,central-youth-league
W8h51e7Q,https://www.betexplorer.com/soccer/poland/ekstraliga-women/uks-sms-lodz-slask-wroclaw/W8h51e7Q/,"2022,9,25,11,00",soccer,poland,ekstraliga-women
YFZuMdup,https://www.betexplorer.com/soccer/slovakia/1-liga-women/banska-bystrica-trencin/YFZuMdup/,"2022,9,25,11,00",soccer,slovakia,1-liga-women
hth1r66E,https://www.betexplorer.com/soccer/vietnam/national-league-women/thai-nguyen-ha-noi/hth1r66E/,"2022,9,25,11,00",soccer,vietnam,national-league-women
hGlnIIR4,https://www.betexplorer.com/soccer/china/super-league/changchun-yatai-wuhan-yangtze-river/hGlnIIR4/,"2022,9,25,11,30",soccer,china,super-league
niBUt2kR,https://www.betexplorer.com/soccer/japan/j3-league/gainare-tottori-kagoshima-united/niBUt2kR/,"2022,9,25,11,30",soccer,japan,j3-league
j1mX0eu1,https://www.betexplorer.com/soccer/europe/euro-u19/italy-bosnia-herzegovina/j1mX0eu1/,"2022,9,25,12,00",soccer,europe,euro-u19
4CoNn5Kj,https://www.betexplorer.com/soccer/europe/euro-u19/turkey-azerbaijan/4CoNn5Kj/,"2022,9,25,12,00",soccer,europe,euro-u19
67CgoYPL,https://www.betexplorer.com/soccer/finland/kansallinen-liiga-women/ons-oulu-honka/67CgoYPL/,"2022,9,25,12,00",soccer,finland,kansallinen-liiga-women
xULsC183,https://www.betexplorer.com/soccer/japan/j2-league/oita-trinita-kofu/xULsC183/,"2022,9,25,12,00",soccer,japan,j2-league
2XnEEZC4,https://www.betexplorer.com/soccer/japan/j2-league/v-varen-nagasaki-yokohama-fc/2XnEEZC4/,"2022,9,25,12,00",soccer,japan,j2-league
4WcdxMcr,https://www.betexplorer.com/soccer/japan/j3-league/ehime-fujieda-myfc/4WcdxMcr/,"2022,9,25,12,00",soccer,japan,j3-league
df85oeRD,https://www.betexplorer.com/soccer/poland/division-2/pruszkow-stomil-olsztyn/df85oeRD/,"2022,9,25,12,00",soccer,poland,division-2
Q3NKtHnr,https://www.betexplorer.com/soccer/poland/iii-liga-group-i/legia-blonianka-blonie/Q3NKtHnr/,"2022,9,25,12,00",soccer,poland,iii-liga-group-i
GKKddiN8,https://www.betexplorer.com/soccer/poland/iii-liga-group-iii/legnica-brzeg/GKKddiN8/,"2022,9,25,12,00",soccer,poland,iii-liga-group-iii
zaGh9nKt,https://www.betexplorer.com/soccer/poland/iii-liga-group-iv/ks-wieczysta-krakow-unia-tarnow/zaGh9nKt/,"2022,9,25,12,00",soccer,poland,iii-liga-group-iv
W8fu7VlM,https://www.betexplorer.com/soccer/poland/central-youth-league/gornik-z-pogon-szczecin/W8fu7VlM/,"2022,9,25,12,00",soccer,poland,central-youth-league
dhoBGiu2,https://www.betexplorer.com/soccer/poland/central-youth-league/lechia-gdansk-legnica/dhoBGiu2/,"2022,9,25,12,00",soccer,poland,central-youth-league
zsad3HxE,https://www.betexplorer.com/soccer/poland/ekstraliga-women/czworka-radom-uj-krakow/zsad3HxE/,"2022,9,25,12,00",soccer,poland,ekstraliga-women
lp302yhK,https://www.betexplorer.com/soccer/poland/ekstraliga-women/pogon-tczew-medyk-konin/lp302yhK/,"2022,9,25,12,00",soccer,poland,ekstraliga-women
4b675CVo,https://www.betexplorer.com/soccer/south-africa/diski-challenge/orlando-pirates-cape-town-city/4b675CVo/,"2022,9,25,12,00",soccer,south-africa,diski-challenge
rLX1Wou2,https://www.betexplorer.com/soccer/south-korea/k3-league/ulsan-citizen-mokpo/rLX1Wou2/,"2022,9,25,12,00",soccer,south-korea,k3-league
d2jrt3Ga,https://www.betexplorer.com/soccer/spain/tercera-rfef-group-10/pozoblanco-cordoba/d2jrt3Ga/,"2022,9,25,12,00",soccer,spain,tercera-rfef-group-10
MZE4s787,https://www.betexplorer.com/soccer/spain/liga-f-women/huelva-alhama/MZE4s787/,"2022,9,25,12,00",soccer,spain,liga-f-women
hfNmok9r,https://www.betexplorer.com/soccer/spain/liga-f-women/madrid-cff-las-planas/hfNmok9r/,"2022,9,25,12,00",soccer,spain,liga-f-women
