ID,Link,Date,Sport,Country,League
nB1beeb5,https://www.betexplorer.com/soccer/england/southern-league-central-division/stourbridge-nuneaton/nB1beeb5/,"2022,9,13,20,45",soccer,england,southern-league-central-division
dvYoF3U3,https://www.betexplorer.com/soccer/england/isthmian-league-premier-division/aveley-potters/dvYoF3U3/,"2022,9,13,20,45",soccer,england,isthmian-league-premier-division
QmiIssxL,https://www.betexplorer.com/soccer/england/fa-trophy/brighouse-town-worksop/QmiIssxL/,"2022,9,13,20,45",soccer,england,fa-trophy
OCUJgCVu,https://www.betexplorer.com/soccer/france/ligue-2/metz-guingamp/OCUJgCVu/,"2022,9,13,20,45",soccer,france,ligue-2
CrUS7raC,https://www.betexplorer.com/soccer/italy/serie-a/empoli-as-roma/CrUS7raC/,"2022,9,13,20,45",soccer,italy,serie-a
bqGfDit1,https://www.betexplorer.com/soccer/northern-ireland/premiership-women/glentoran-sion-swifts/bqGfDit1/,"2022,9,13,20,45",soccer,northern-ireland,premiership-women
h6FbCBe7,https://www.betexplorer.com/soccer/northern-ireland/premiership-women/linfield-derry-city/h6FbCBe7/,"2022,9,13,20,45",soccer,northern-ireland,premiership-women
8EcozFmE,https://www.betexplorer.com/soccer/northern-ireland/premiership-women/mid-ulster-cliftonville/8EcozFmE/,"2022,9,13,20,45",soccer,northern-ireland,premiership-women
xhbBA5ht,https://www.betexplorer.com/soccer/bolivia/division-profesional/guabira-aurora/xhbBA5ht/,"2022,9,13,21,00",soccer,bolivia,division-profesional
dG1iNeUj,https://www.betexplorer.com/soccer/france/national/red-star-paris-13-atletico/dG1iNeUj/,"2022,9,13,21,00",soccer,france,national
MRda6hCG,https://www.betexplorer.com/soccer/spain/laliga/almeria-osasuna/MRda6hCG/,"2022,9,13,21,00",soccer,spain,laliga
fBFTf223,https://www.betexplorer.com/soccer/spain/laliga2/eibar-granada-cf/fBFTf223/,"2022,9,13,21,00",soccer,spain,laliga2
z76iKa6c,https://www.betexplorer.com/soccer/iceland/urvalsdeild-women/throttur-keflavik/z76iKa6c/,"2022,9,13,21,15",soccer,iceland,urvalsdeild-women
hA1GuqG5,https://www.betexplorer.com/soccer/portugal/liga-portugal/vizela-estoril/hA1GuqG5/,"2022,9,13,21,15",soccer,portugal,liga-portugal
OIcia2aB,https://www.betexplorer.com/soccer/argentina/liga-profesional/sarmiento-junin-independiente/OIcia2aB/,"2022,9,13,22,00",soccer,argentina,liga-profesional
f1vuok2k,https://www.betexplorer.com/soccer/colombia/primera-b/tigres-futbol-club-orsomarso/f1vuok2k/,"2022,9,13,22,00",soccer,colombia,primera-b
2JPwODlo,https://www.betexplorer.com/soccer/brazil/brasileiro-women/sao-paulo-internacional/2JPwODlo/,"2022,9,13,22,30",soccer,brazil,brasileiro-women
zL1KWbQh,https://www.betexplorer.com/soccer/peru/liga-1/sport-huancayo-u-san-martin/zL1KWbQh/,"2022,9,13,22,30",soccer,peru,liga-1
Cl7hhkjR,https://www.betexplorer.com/soccer/mexico/liga-mx-women/club-america-juarez/Cl7hhkjR/,"2022,9,13,22,45",soccer,mexico,liga-mx-women
WQccruSG,https://www.betexplorer.com/soccer/chile/primera-b/rangers-deportes-iquique/WQccruSG/,"2022,9,13,23,00",soccer,chile,primera-b
buEwOAt2,https://www.betexplorer.com/soccer/chile/primera-b/u-de-concepcion-barnechea/buEwOAt2/,"2022,9,13,23,00",soccer,chile,primera-b
rwkj6n3c,https://www.betexplorer.com/soccer/costa-rica/liga-de-ascenso/aserri-escorpiones/rwkj6n3c/,"2022,9,13,23,00",soccer,costa-rica,liga-de-ascenso
dGwb27VL,https://www.betexplorer.com/soccer/paraguay/division-intermedia/deportivo-santani-san-lorenzo/dGwb27VL/,"2022,9,13,23,00",soccer,paraguay,division-intermedia
boP2yCz8,https://www.betexplorer.com/soccer/argentina/primera-nacional/ferro-deportivo-moron/boP2yCz8/,"2022,9,13,23,10",soccer,argentina,primera-nacional
jyElCf8r,https://www.betexplorer.com/soccer/mexico/liga-premier-serie-a/pachuca-escorpiones/jyElCf8r/,"2022,9,13,23,30",soccer,mexico,liga-premier-serie-a
fZubvZ7n,https://www.betexplorer.com/soccer/argentina/primera-nacional/nueva-chicago-almagro/fZubvZ7n/,"2022,9,13,0,00",soccer,argentina,primera-nacional
WEcF9P7n,https://www.betexplorer.com/soccer/bolivia/division-profesional/tomayapo-atletico-palmaflor/WEcF9P7n/,"2022,9,13,0,00",soccer,bolivia,division-profesional
hniifBLE,https://www.betexplorer.com/soccer/mexico/liga-mx-women/necaxa-pachuca/hniifBLE/,"2022,9,13,0,00",soccer,mexico,liga-mx-women
Yc8lgVzL,https://www.betexplorer.com/soccer/mexico/liga-mx-women/club-leon-queretaro/Yc8lgVzL/,"2022,9,13,0,05",soccer,mexico,liga-mx-women
prLbxhL1,https://www.betexplorer.com/soccer/argentina/primera-nacional/ind-rivadavia-deportivo-madryn/prLbxhL1/,"2022,9,13,1,00",soccer,argentina,primera-nacional
GGUwysuM,https://www.betexplorer.com/soccer/brazil/serie-b/sport-recife-bahia/GGUwysuM/,"2022,9,13,1,00",soccer,brazil,serie-b
vkEr5AgL,https://www.betexplorer.com/soccer/colombia/primera-b/leones-huila/vkEr5AgL/,"2022,9,13,1,00",soccer,colombia,primera-b
I1t6eMIb,https://www.betexplorer.com/soccer/paraguay/primera-division/general-caballero-jlm-12-de-octubre/I1t6eMIb/,"2022,9,13,1,15",soccer,paraguay,primera-division
Cr2LnfJ2,https://www.betexplorer.com/soccer/chile/primera-b/copiapo-club-deportes-santa-cruz/Cr2LnfJ2/,"2022,9,13,1,30",soccer,chile,primera-b
Qo6PoEY8,https://www.betexplorer.com/soccer/chile/primera-b/d-puerto-montt-arturo-fernandez-vial/Qo6PoEY8/,"2022,9,13,1,30",soccer,chile,primera-b
xG8NEJg0,https://www.betexplorer.com/soccer/mexico/liga-premier-serie-a/inter-de-queretaro-correcaminos/xG8NEJg0/,"2022,9,13,1,30",soccer,mexico,liga-premier-serie-a
2JVgwY5e,https://www.betexplorer.com/soccer/argentina/primera-nacional/quilmes-estudiantes-rio-cuarto/2JVgwY5e/,"2022,9,13,1,35",soccer,argentina,primera-nacional
